week,industry,report_count,methods,n_methods,severity_score
2011-02-07,Baby Food Prod,4,cusum+isolation_forest,2,11.304
2015-10-19,Mult Food Dinner/Grav/Sauce/Special,2,cusum+isolation_forest,2,10.868
2005-10-17,Prep Salad Prod,8,zscore+cusum,2,10.859
2014-01-27,Whole Grain/Milled Grain Prod/Starch,26,zscore+cusum,2,10.717
2010-11-15,Vegetables/Vegetable Products,25,zscore+isolation_forest,2,10.674
2009-03-02,Choc/Cocoa Prod,3,cusum+isolation_forest,2,10.636
2011-10-24,Milk/Butter/Dried Milk Prod,6,zscore+isolation_forest,2,10.503
2015-10-05,Ice Cream Prod,2,cusum+isolation_forest,2,9.936
2016-07-11,Vit/Min/Prot/Unconv Diet(Human/Animal),156,cusum+isolation_forest,2,9.906
2014-04-14,Vit/Min/Prot/Unconv Diet(Human/Animal),483,zscore+cusum,2,9.738
2013-10-28,Mult Food Dinner/Grav/Sauce/Special,11,zscore+isolation_forest,2,9.5
2007-02-26,Nuts/Edible Seed,73,zscore+cusum,2,9.186
2009-06-29,Fishery/Seafood Prod,15,zscore+isolation_forest,2,9.087
2011-11-14,Vegetables/Vegetable Products,31,zscore+isolation_forest,2,9.064
2011-11-14,Beverage Bases/Conc/Nectar,4,cusum+isolation_forest,2,9.064
2010-11-01,Egg/Egg Prod,5,cusum+isolation_forest,2,8.725
2004-08-30,Food Sweeteners (Nutritive),5,zscore+isolation_forest,2,8.497
2010-11-15,Egg/Egg Prod,2,cusum+isolation_forest,2,8.045
2016-06-20,Vit/Min/Prot/Unconv Diet(Human/Animal),293,zscore+cusum,2,7.954
2017-01-16,Vegetables/Vegetable Products,55,zscore+cusum,2,7.711
2016-07-11,Cereal Prep/Breakfast Food,3,cusum+isolation_forest,2,7.672
2016-04-25,Dressing/Condiment,6,zscore+cusum,2,7.642
2004-09-13,Macaroni/Noodle Prod,7,zscore+cusum,2,7.559
2014-01-06,Prep Salad Prod,9,zscore+cusum,2,7.445
2013-10-21,Fishery/Seafood Prod,37,zscore+cusum,2,7.34
2015-10-19,Ice Cream Prod,2,cusum+isolation_forest,2,7.323
2017-02-20,Cheese/Cheese Prod,8,zscore+isolation_forest,2,7.186
2013-11-11,Egg/Egg Prod,8,zscore+cusum,2,7.179
2013-10-28,Fruit/Fruit Prod,9,zscore+isolation_forest,2,6.993
2009-02-23,Snack Food Item,9,zscore+cusum,2,6.702
2004-08-30,Soft Drink/Water,14,zscore+isolation_forest,2,6.659
2007-12-10,Coffee/Tea,6,zscore+isolation_forest,2,6.653
2013-10-28,Ice Cream Prod,3,zscore+isolation_forest,2,6.64
2009-09-28,Egg/Egg Prod,3,zscore+isolation_forest,2,6.64
2015-03-30,"Meat, Meat Products and Poultry",3,zscore+isolation_forest,2,6.64
2012-12-10,Vegetable Oils,3,zscore+isolation_forest,2,6.64
2015-10-19,Soup,3,zscore+isolation_forest,2,6.64
2013-10-28,Filled Milk/Imit Milk Prod,3,zscore+isolation_forest,2,6.64
2017-03-20,Beverage Bases/Conc/Nectar,3,zscore+isolation_forest,2,6.64
2005-05-16,Dietary Conv Food/Meal Replacements,6,zscore+isolation_forest,2,6.606
2011-10-10,Fishery/Seafood Prod,24,zscore+cusum,2,6.589
2013-09-09,Whole Grain/Milled Grain Prod/Starch,14,zscore+cusum,2,6.575
2004-12-20,Fruit/Fruit Prod,13,zscore+isolation_forest,2,6.385
2004-12-20,Prep Salad Prod,3,zscore+isolation_forest,2,6.332
2011-07-04,Fruit/Fruit Prod,23,zscore+cusum,2,6.29
2013-10-21,Vit/Min/Prot/Unconv Diet(Human/Animal),306,zscore+cusum,2,6.133
2004-12-20,Vegetables/Vegetable Products,8,zscore+isolation_forest,2,6.107
2016-12-05,Choc/Cocoa Prod,4,zscore+isolation_forest,2,6.08
2006-02-13,Filled Milk/Imit Milk Prod,4,zscore+cusum,2,6.08
2016-07-25,Cosmetics,241,zscore+cusum,2,6.039
2017-03-20,Candy W/O Choc/Special/Chew Gum,5,zscore+isolation_forest,2,6.033
2009-01-26,Choc/Cocoa Prod,7,zscore+cusum,2,6.016
2009-06-29,Mult Food Dinner/Grav/Sauce/Special,9,zscore+isolation_forest,2,5.94
2015-02-02,Cosmetics,158,zscore+cusum,2,5.77
2011-11-14,"Meat, Meat Products and Poultry",6,zscore+isolation_forest,2,5.641
2010-08-30,Egg/Egg Prod,7,zscore+cusum,2,5.626
2009-08-17,Fruit/Fruit Prod,8,cusum+isolation_forest,2,5.581
2013-10-28,Vit/Min/Prot/Unconv Diet(Human/Animal),98,cusum+isolation_forest,2,5.576
2007-12-10,Mult Food Dinner/Grav/Sauce/Special,11,zscore+isolation_forest,2,5.46
2009-02-02,Candy W/O Choc/Special/Chew Gum,4,zscore+isolation_forest,2,5.416
2015-04-27,Cereal Prep/Breakfast Food,4,zscore+isolation_forest,2,5.416
2015-04-27,Cosmetics,75,cusum+isolation_forest,2,5.379
2007-09-10,Soft Drink/Water,9,cusum+isolation_forest,2,5.291
2011-02-07,Vit/Min/Prot/Unconv Diet(Human/Animal),162,zscore+isolation_forest,2,5.263
2009-04-13,Snack Food Item,9,zscore+cusum,2,5.238
2009-03-02,Vegetables/Vegetable Products,10,zscore+isolation_forest,2,5.187
2013-09-02,Dietary Conv Food/Meal Replacements,15,zscore+cusum,2,5.135
2011-11-14,Coffee/Tea,5,zscore+isolation_forest,2,5.118
2016-06-06,Vit/Min/Prot/Unconv Diet(Human/Animal),252,zscore+cusum,2,5.078
2004-12-20,Mult Food Dinner/Grav/Sauce/Special,6,zscore+isolation_forest,2,4.975
2009-02-02,Nuts/Edible Seed,15,zscore+isolation_forest,2,4.975
2016-08-08,Cereal Prep/Breakfast Food,6,cusum+isolation_forest,2,4.968
2013-09-23,Dietary Conv Food/Meal Replacements,8,cusum+isolation_forest,2,4.965
2005-05-02,Food Additives (Human Use),6,zscore+cusum,2,4.907
2007-08-13,Soft Drink/Water,16,zscore+cusum,2,4.9
2007-09-10,Baby Food Prod,8,zscore+isolation_forest,2,4.852
2015-10-19,Vit/Min/Prot/Unconv Diet(Human/Animal),259,cusum+isolation_forest,2,4.823
2014-03-31,Fishery/Seafood Prod,21,zscore+cusum,2,4.799
2010-06-07,Snack Food Item,10,zscore+cusum,2,4.765
2009-10-05,Nuts/Edible Seed,24,zscore+isolation_forest,2,4.728
2009-07-06,Ice Cream Prod,11,zscore+cusum,2,4.724
2010-11-15,Choc/Cocoa Prod,3,zscore+isolation_forest,2,4.71
2015-10-05,Food Additives (Human Use),3,zscore+isolation_forest,2,4.71
2015-06-01,Dietary Conv Food/Meal Replacements,10,zscore+isolation_forest,2,4.659
2004-04-12,Baby Food Prod,8,zscore+isolation_forest,2,4.653
2005-05-16,Food Additives (Human Use),4,cusum+isolation_forest,2,4.638
2010-11-15,Soft Drink/Water,13,zscore+isolation_forest,2,4.596
2013-10-07,Vit/Min/Prot/Unconv Diet(Human/Animal),1,zscore+cusum,2,4.573
2004-08-30,Choc/Cocoa Prod,5,zscore+isolation_forest,2,4.519
2013-03-18,Soft Drink/Water,18,zscore+cusum,2,4.508
2009-06-29,Cheese/Cheese Prod,4,zscore+isolation_forest,2,4.424
2004-12-20,Soft Drink/Water,14,zscore+isolation_forest,2,4.365
2017-03-27,Cheese/Cheese Prod,9,zscore+cusum,2,4.294
2010-11-01,Nuts/Edible Seed,22,zscore+isolation_forest,2,4.266
2011-11-14,Bakery Prod/Dough/Mix/Icing,7,zscore+isolation_forest,2,4.173
2017-03-20,Choc/Cocoa Prod,5,zscore+isolation_forest,2,4.131
2009-10-12,Snack Food Item,7,zscore+cusum,2,4.065
2009-02-02,Ice Cream Prod,7,zscore+isolation_forest,2,4.05
2004-05-10,Food Additives (Human Use),5,zscore+isolation_forest,2,4.008
2009-08-17,Dietary Conv Food/Meal Replacements,10,zscore+isolation_forest,2,3.983
2013-10-28,Cereal Prep/Breakfast Food,5,zscore+isolation_forest,2,3.98
2004-12-20,Bakery Prod/Dough/Mix/Icing,14,zscore+isolation_forest,2,3.945
2016-07-11,Soft Drink/Water,10,zscore+isolation_forest,2,3.869
2005-05-16,Candy W/O Choc/Special/Chew Gum,5,zscore+isolation_forest,2,3.869
